NOM_CARRER,DISTRICTE,SECC_CENS,BARRI,DPOSTAL
Llebrencs,5,3,22,8017
Llebrencs,5,3,22,8017
A Zona Franca,3,25,12,8040
A Zona Franca,3,25,12,8040
Guerau de Liost,5,3,22,8017
Guerau de Liost,5,3,22,8017
Abat Odó,9,47,60,8030
Abat Odó,9,48,60,8030
Abat Odó,9,47,60,8030
Abat Odó,9,46,60,8030
Abat Samsó,5,12,23,8017
Abat Samsó,5,12,23,8017
Abat Safont,1,4,1,8001
Abat Safont,1,4,1,8001
Abadessa Olzet,4,55,21,8034
Abadessa Olzet,4,56,21,8034
Abadessa Olzet,4,55,21,8034
Abadessa Olzet,4,56,21,8034
Abaixadors,1,46,4,8003
Abaixadors,1,46,4,8003
Abd el-Kader,7,17,33,8024
Abd el-Kader,7,16,33,8024
Abdó Terradas,6,58,31,8012
Abdó Terradas,6,58,31,8012
Abella,8,48,47,8031
Abella,8,48,47,8031
Manuel Ballbé,4,54,21,8034
Manuel Ballbé,4,54,21,8034
Acàcies,9,79,62,8027
Acàcies,9,80,62,8027
Acàcies,9,78,62,8027
Acàcies,9,79,62,8027
Pl Acadèmia,1,54,4,8003
Pl Acadèmia,1,54,4,8003
Sèquia,1,53,4,8003
Sèquia,1,53,4,8003
Sèquia Comtal,10,39,65,8018
Sèquia Comtal,10,39,65,8018
Sèquia Madriguera,9,10,59,8030
Sèquia Madriguera,9,10,59,8030
Acer,3,25,12,8038
Acer,3,25,12,8038
Actor Morano,5,2,22,8017
Actor Morano,5,2,22,8017
Actriu Tubau,5,2,22,8017
Actriu Tubau,5,2,22,8017
Adolf Florensa,4,49,20,8028
Adolf Florensa,4,49,20,8028
Adrall,9,10,59,8030
Adrall,9,9,59,8030
Av Adrià Gual,6,9,28,8035
Av Adrià Gual,6,9,28,8035
Adrià Margarit,5,32,25,8035
Adrià Margarit,5,33,25,8035
Adrià Margarit,5,33,25,8035
Pl Adrià,5,51,26,8021
Pl Adrià,5,50,26,8021
Pl Adrià,5,51,26,8021
Pl Adrià,5,52,26,8021
Pl Adrià,5,50,26,8021
Duana,1,43,4,8003
Duana,1,43,4,8003
Afores,9,21,60,8030
Aglà,1,29,2,8002
Aglà,1,29,2,8002
Agramunt,6,1,28,8023
Agramunt,5,90,27,8023
Agramunt,6,1,28,8023
Agramunt,5,91,27,8023
Agregació,7,44,35,8041
Agregació,7,45,35,8041
Agregació,7,44,35,8041
Agregació,7,45,35,8041
Agregació,7,46,35,8041
Anna Martínez Sagi,7,43,35,8041
Anna Martínez Sagi,7,45,35,8041
Anna Martínez Sagi,7,44,35,8041
Anna Martínez Sagi,7,45,35,8041
Anna Martínez Sagi,7,43,35,8041
Agricultura,10,236,69,8019
Agricultura,10,94,71,8019
Agricultura,10,122,72,8020
Agricultura,10,122,72,8020
Agricultura,10,121,72,8020
Agricultura,10,120,72,8020
Agricultura,10,118,72,8020
Agricultura,10,116,72,8020
Agricultura,10,235,69,8019
Agricultura,10,94,71,8019
Agricultura,10,120,72,8020
Agricultura,10,115,72,8020
Agricultura,10,117,72,8020
Agricultura,10,235,69,8019
Agricultura,10,121,72,8020
Agricultura,10,115,72,8020
Agricultura,10,122,72,8020
Agricultura,10,116,72,8020
Ctra Aigües,4,56,21,8034
Ctra Aigües,5,3,22,8017
Ctra Aigües,5,5,23,8017
Ctra Aigües,5,3,22,8017
Ctra Aigües,7,90,39,8035
Ctra Aigües,6,9,28,8035
Ctra Aigües,4,56,21,8034
Ctra Aigües,5,4,23,8017
Ctra Aigües,5,32,25,8035
Ctra Aigües,5,33,25,8035
Ctra Aigües,5,2,22,8017
Ctra Aigües,5,5,23,8017
Ctra Aigües,6,9,28,8035
Camí Aigües,5,5,23,8017
Camí Aigües,5,5,23,8017
Agudells,7,58,36,8032
Agudells,7,70,37,8032
Agudells,7,66,37,8032
Agudells,7,65,37,8032
Agudells,7,58,36,8032
Agudells,7,70,37,8032
Agudells,7,67,37,8032
Agudells,7,68,37,8032
Agudes,8,113,55,8033
Agudes,8,114,55,8033
Agudes,8,111,55,8033
Agudes,8,113,55,8033
Agudes,8,115,55,8033
Agudes,8,114,55,8033
Agudes,8,110,55,8033
Àliga,3,52,15,8014
Àliga,3,52,15,8014
Aguilar,7,52,36,8032
Aguilar,7,52,36,8032
Aguilar,7,53,36,8032
Agullana,8,48,47,8031
Agullana,8,48,47,8031
Agullers,1,46,4,8003
Agullers,1,46,4,8003
A Duran i Sanpere,1,18,1,8001
A Duran i Sanpere,1,18,1,8001
Agustí i Milà,9,40,60,8030
Agustí i Milà,9,39,60,8030
Agustí i Milà,9,35,60,8030
Agustí i Milà,9,40,60,8030
Agustina Saragossa,4,23,19,8017
Agustina Saragossa,4,23,19,8017
Aiguablava,8,107,53,8033
Aiguablava,8,103,53,8033
Aiguablava,8,107,53,8033
Aiguablava,8,103,53,8042
Aiguafreda,7,120,43,8032
Aiguafreda,7,120,43,8032
Àlaba,10,53,67,8005
Àlaba,10,52,67,8005
Àlaba,10,43,66,8005
Àlaba,10,52,67,8005
Àlaba,10,43,66,8005
Àlaba,10,42,66,8018
Alba,6,59,31,8012
Alba,6,59,31,8012
Albacete,6,36,31,8012
Albacete,6,36,31,8012
Albània,10,82,70,8019
Albània,10,82,70,8019
Albareda,3,20,11,8004
Albareda,3,20,11,8004
Ourense,7,78,37,8032
Ourense,7,78,37,8032
Albert Llanas,7,21,34,8024
Albert Llanas,7,21,34,8024
Albert Llanas,7,22,34,8024
Albert Llanas,7,21,34,8024
Ptge Albert Pinyol,4,1,19,8029
Ptge Albert Pinyol,4,1,19,8029
Albigesos,6,19,30,8024
Albigesos,6,18,30,8024
Albigesos,6,19,30,8024
Albigesos,6,21,30,8024
Alcalá de Guadaira,10,111,72,8020
Alcalá de Guadaira,10,114,72,8020
Alcalá de Guadaira,10,114,72,8020
Pl Alc Baró Viver,4,54,21,8034
Alcalde Miralles,5,3,22,8017
Alcalde Miralles,5,2,22,8017
Alcalde Móstoles,7,2,33,8025
Alcalde Móstoles,7,1,33,8025
Alcalde Móstoles,7,6,33,8025
Alcalde Móstoles,7,7,33,8025
Alcalde de Zalamea,7,66,37,8032
Alcalde de Zalamea,7,65,37,8032
Alcamo,10,83,70,8019
Alcamo,10,83,70,8019
Alcanar,1,38,3,8003
Alcanar,1,38,3,8003
Alcántara,8,72,50,8042
Alcántara,8,65,50,8042
Alcántara,8,71,50,8042
Alcántara,8,70,50,8042
Alcántara,8,69,50,8042
Alcántara,8,65,50,8042
Martí i Franquès,4,49,20,8028
Martí i Franquès,4,49,20,8028
Av Exèrcit,4,53,21,8034
Av Exèrcit,4,53,21,8034
Alcolea,3,105,18,8014
Alcolea,3,108,18,8014
Alcolea,3,109,18,8014
Alcolea,3,110,18,8014
Alcolea,3,105,18,8014
Alcolea,3,108,18,8014
Alcolea,3,109,18,8014
Alcolea,3,110,18,8014
Alcoi,5,32,25,8022
Alcoi,5,31,25,8022
Alcoi,5,32,25,8022
Alcoi,5,31,25,8022
Alcúdia,8,37,45,8016
Alcúdia,8,36,45,8016
Alcúdia,8,34,45,8016
Alcúdia,8,33,45,8016
Alcúdia,8,37,45,8016
Alcúdia,8,36,45,8016
Alcúdia,8,35,45,8016
Alcúdia,8,32,45,8016
Aldana,2,170,10,8015
Aldana,2,170,10,8015
Aldea,6,17,29,8023
Aldea,6,16,29,8023
Aldea,6,16,29,8023
Ca l'Alegre Dalt,6,82,32,8024
Ca l'Alegre Dalt,6,84,32,8024
Ca l'Alegre Dalt,6,86,32,8024
Ca l'Alegre Dalt,6,25,30,8024
Ca l'Alegre Dalt,6,24,30,8024
Ca l'Alegre Dalt,6,88,32,8024
Ca l'Alegre Dalt,6,84,32,8024
Ca l'Alegre Dalt,6,86,32,8024
Ca l'Alegre Dalt,6,25,30,8024
Ca l'Alegre Dalt,6,85,32,8024
Ca l'Alegre Dalt,6,24,30,8024
Ca l'Alegre Dalt,6,85,32,8024
Ca l'Alegre Dalt,6,83,32,8024
Malva,5,1,22,8017
Malva,5,1,22,8017
A de Torrelles,7,24,34,8024
A de Torrelles,7,24,34,8024
Alella,8,20,45,8016
Alella,8,21,45,8016
Alella,8,24,45,8016
Alella,8,21,45,8016
Alella,8,23,45,8016
Alella,8,25,45,8016
Alella,8,23,45,8016
Alfambra,4,53,21,8034
Alfambra,4,53,21,8034
Alfarràs,9,11,59,8030
Alfarràs,9,10,59,8030
Alfons XII,5,69,26,8006
Alfons XII,5,70,26,8006
Alfons XII,5,73,26,8006
Alfons XII,5,75,26,8006
Alfons XII,5,69,26,8006
Alfons XII,5,70,26,8006
Alfons XII,5,75,26,8006
Alfons XII,5,72,26,8006
Alfons XII,5,71,26,8006
