CARRER;NOM_CARRER;PRIMER_NUM;ULTIM_NUM;TIPUSNUM;DISTRICTE;SECC_CENS;AEB;BARRI;SECC_EST;DPOSTAL
102;Llebrencs;1;17;1;5;3;92;22;182;8017
102;Llebrencs;2;26;2;5;3;92;22;182;8017
180;A Zona Franca;3;119;1;3;25;60;12;61;8040
180;A Zona Franca;2;106;2;3;25;60;12;61;8040
204;Guerau de Liost;1;17;1;5;3;92;22;182;8017
204;Guerau de Liost;2;22;2;5;3;92;22;182;8017
306;Abat Odó;1;63;1;9;47;192;60;81;8030
306;Abat Odó;65;89;1;9;48;192;60;84;8030
306;Abat Odó;2;44;2;9;47;192;60;81;8030
306;Abat Odó;46;68;2;9;46;192;60;84;8030
408;Abat Samsó;1;23;1;5;12;95;23;162;8017
408;Abat Samsó;0002B;20;2;5;12;95;23;162;8017
500;Abat Safont;1;11;1;1;4;2;1;102;8001
500;Abat Safont;0002S;12;2;1;4;2;1;102;8001
601;Abadessa Olzet;1;7;1;4;55;90;21;77;8034
601;Abadessa Olzet;0009B;39;1;4;56;90;21;77;8034
601;Abadessa Olzet;2;8;2;4;55;90;21;77;8034
601;Abadessa Olzet;10;40;2;4;56;90;21;77;8034
703;Abaixadors;1;15;1;1;46;16;4;30;8003
703;Abaixadors;2;16;2;1;46;16;4;30;8003
805;Abd el-Kader;1;19;1;7;17;137;33;77;8024
805;Abd el-Kader;2;8;2;7;16;137;33;77;8024
907;Abdó Terradas;1;27;1;6;58;129;31;13;8012
907;Abdó Terradas;2;32;2;6;58;129;31;13;8012
1003;Abella;0001B;5;1;8;48;166;47;85;8031
1003;Abella;0002B;6;2;8;48;166;47;85;8031
1105;Manuel Ballbé;1;17;1;4;54;89;21;79;8034
1105;Manuel Ballbé;2;20;2;4;54;89;21;79;8034
1309;Acàcies;1;73;1;9;79;198;62;61;8027
1309;Acàcies;2;8;2;9;80;198;62;59;8027
1309;Acàcies;10;44;2;9;78;198;62;60;8027
1309;Acàcies;46;64;2;9;79;198;62;62;8027
1400;Pl Acadèmia;1;5;1;1;54;19;4;36;8003
1400;Pl Acadèmia;2;6;2;1;54;19;4;36;8003
1502;Sèquia;1;13;1;1;53;19;4;41;8003
1502;Sèquia;2;10;2;1;53;19;4;41;8003
1604;Sèquia Comtal;1;21;1;10;39;207;65;160;8018
1604;Sèquia Comtal;0002B;16;2;10;39;207;65;160;8018
1706;Sèquia Madriguera;1;27;1;9;10;185;59;136;8030
1706;Sèquia Madriguera;2;30;2;9;10;185;59;136;8030
