"Any","Codi_Districte","Nom_Districte","Codi_Barri","Nom_Barri","Sexe","Nombre"
2021,1,"Ciutat Vella",1,"el Raval","Dones",21868
2021,1,"Ciutat Vella",2,"el Barri Gòtic","Dones",8463
2021,1,"Ciutat Vella",3,"la Barceloneta","Dones",7405
2021,1,"Ciutat Vella",4,"Sant Pere, Santa Caterina i la Ribera","Dones",11039
2021,2,"Eixample",5,"el Fort Pienc","Dones",16571
2021,2,"Eixample",6,"la Sagrada Família","Dones",27692
2021,2,"Eixample",7,"la Dreta de l'Eixample","Dones",23512
2021,2,"Eixample",8,"l'Antiga Esquerra de l'Eixample","Dones",22179
2021,2,"Eixample",9,"la Nova Esquerra de l'Eixample","Dones",30392
2021,2,"Eixample",10,"Sant Antoni","Dones",19931
2021,3,"Sants-Montjuïc",11,"el Poble Sec","Dones",20047
2021,3,"Sants-Montjuïc",12,"la Marina del Prat Vermell","Dones",655
2021,3,"Sants-Montjuïc",13,"la Marina de Port","Dones",15949
2021,3,"Sants-Montjuïc",14,"la Font de la Guatlla","Dones",5299
2021,3,"Sants-Montjuïc",15,"Hostafrancs","Dones",8250
2021,3,"Sants-Montjuïc",16,"la Bordeta","Dones",10096
2021,3,"Sants-Montjuïc",17,"Sants - Badal","Dones",13065
2021,3,"Sants-Montjuïc",18,"Sants","Dones",22327
2021,4,"Les Corts",19,"les Corts","Dones",24418
2021,4,"Les Corts",20,"la Maternitat i Sant Ramon","Dones",12604
2021,4,"Les Corts",21,"Pedralbes","Dones",6196
2021,5,"Sarrià-Sant Gervasi",22,"Vallvidrera, el Tibidabo i les Planes","Dones",2377
2021,5,"Sarrià-Sant Gervasi",23,"Sarrià","Dones",13076
2021,5,"Sarrià-Sant Gervasi",24,"les Tres Torres","Dones",8649
2021,5,"Sarrià-Sant Gervasi",25,"Sant Gervasi - la Bonanova","Dones",13841
2021,5,"Sarrià-Sant Gervasi",26,"Sant Gervasi - Galvany","Dones",25766
2021,5,"Sarrià-Sant Gervasi",27,"el Putxet i el Farró","Dones",16072
2021,6,"Gràcia",28,"Vallcarca i els Penitents","Dones",8626
2021,6,"Gràcia",29,"el Coll","Dones",4049
2021,6,"Gràcia",30,"la Salut","Dones",7130
2021,6,"Gràcia",31,"la Vila de Gràcia","Dones",26881
2021,6,"Gràcia",32,"el Camp d'en Grassot i Gràcia Nova","Dones",18898
2021,7,"Horta-Guinardó",33,"el Baix Guinardó","Dones",13758
2021,7,"Horta-Guinardó",34,"Can Baró","Dones",4872
2021,7,"Horta-Guinardó",35,"el Guinardó","Dones",19667
2021,7,"Horta-Guinardó",36,"la Font d'en Fargues","Dones",4950
2021,7,"Horta-Guinardó",37,"el Carmel","Dones",17032
2021,7,"Horta-Guinardó",38,"la Teixonera","Dones",6180
2021,7,"Horta-Guinardó",39,"Sant Genís dels Agudells","Dones",3844
2021,7,"Horta-Guinardó",40,"Montbau","Dones",2785
2021,7,"Horta-Guinardó",41,"la Vall d'Hebron","Dones",3139
2021,7,"Horta-Guinardó",42,"la Clota","Dones",330
2021,7,"Horta-Guinardó",43,"Horta","Dones",14761
2021,8,"Nou Barris",44,"Vilapicina i la Torre Llobeta","Dones",13888
2021,8,"Nou Barris",45,"Porta","Dones",14562
2021,8,"Nou Barris",46,"el Turó de la Peira","Dones",8529
2021,8,"Nou Barris",47,"Can Peguera","Dones",1177
2021,8,"Nou Barris",48,"la Guineueta","Dones",8180
2021,8,"Nou Barris",49,"Canyelles","Dones",3577
2021,8,"Nou Barris",50,"les Roquetes","Dones",8473
2021,8,"Nou Barris",51,"Verdun","Dones",6813
2021,8,"Nou Barris",52,"la Prosperitat","Dones",14189
2021,8,"Nou Barris",53,"la Trinitat Nova","Dones",3907
2021,8,"Nou Barris",54,"Torre Baró","Dones",1448
2021,8,"Nou Barris",55,"Ciutat Meridiana","Dones",5620
