"SECCIO_CENSAL","HOMES","DONES","EDAT_0_A_14","EDAT_15_A_24","EDAT_25_A_64","EDAT_65_A_MES","NACIONALS","COMUNITARIS","ESTRANGERS","DATA_DADES"
"01001","656","614","148","107","824","191","693","129","448","07-05-2023 10:00:04"
"01002","657","613","120","155","807","188","540","178","552","07-05-2023 10:00:04"
"01003","1856","1618","748","420","1935","371","1909","219","1346","07-05-2023 10:00:04"
"01004","1568","1371","335","331","1973","300","1500","344","1095","07-05-2023 10:00:04"
"01005","1228","1106","278","281","1480","295","1231","286","817","07-05-2023 10:00:04"
"01006","853","730","184","184","1024","191","707","214","662","07-05-2023 10:00:04"
"01007","1139","821","275","232","1298","155","894","184","882","07-05-2023 10:00:04"
"01008","1821","1369","508","332","1977","373","1400","235","1555","07-05-2023 10:00:04"
"01009","1169","1000","316","193","1409","251","1089","177","903","07-05-2023 10:00:04"
"01010","1296","1083","351","269","1557","202","1047","171","1161","07-05-2023 10:00:04"
"01011","1659","1433","433","353","2060","246","1374","281","1437","07-05-2023 10:00:04"
"01012","967","952","231","189","1277","222","968","185","766","07-05-2023 10:00:04"
"01013","752","719","173","144","948","206","816","99","556","07-05-2023 10:00:04"
"01014","990","867","171","211","1254","221","967","148","742","07-05-2023 10:00:04"
"01015","1136","1165","299","217","1525","260","1072","208","1021","07-05-2023 10:00:04"
"01016","991","1056","248","209","1388","202","950","175","922","07-05-2023 10:00:04"
"01017","1265","1261","319","292","1660","255","1108","226","1192","07-05-2023 10:00:04"
"01018","762","747","158","195","935","221","827","148","534","07-05-2023 10:00:04"
"01019","1466","1280","310","283","1878","275","1231","327","1188","07-05-2023 10:00:04"
"01020","1122","1173","147","210","1563","375","1214","408","673","07-05-2023 10:00:04"
"01021","1090","1101","156","208","1530","297","1117","356","718","07-05-2023 10:00:04"
"01022","1080","763","93","286","1251","213","723","293","827","07-05-2023 10:00:04"
"01023","992","1031","134","223","1384","282","1052","370","601","07-05-2023 10:00:04"
"01025","692","670","99","142","963","158","627","332","403","07-05-2023 10:00:04"
"01026","9226","2797","751","1349","9397","526","1970","556","9497","07-05-2023 10:00:04"
"01027","731","772","116","181","1009","197","757","304","442","07-05-2023 10:00:04"
"01028","912","959","136","222","1303","210","871","415","585","07-05-2023 10:00:04"
"01029","695","738","92","182","1014","145","566","347","520","07-05-2023 10:00:04"
"01030","1270","1171","197","298","1600","346","1229","414","798","07-05-2023 10:00:04"
"01031","848","736","135","141","1129","179","671","329","584","07-05-2023 10:00:04"
"01032","881","855","85","126","1240","285","917","337","482","07-05-2023 10:00:04"
"01033","588","499","75","80","780","152","581","225","281","07-05-2023 10:00:04"
"01034","498","470","53","76","700","139","491","221","256","07-05-2023 10:00:04"
"01035","576","597","73","104","827","169","617","246","310","07-05-2023 10:00:04"
